TRX_CODE;TRX_SESS;TRX_TYPE;BRK_COD2;INV_TYP2;BRK_COD1;INV_TYP1;STK_CODE;STK_VOLM;STK_PRIC;TRX_DATE;TRX_ORD2;TRX_ORD1;TRX_TIME
1;1;RG;RX;A;BK;A;UNVR;400;4550;2023-02-16;23363;3649;085900
2;1;RG;RX;A;BK;A;UNVR;400;4550;2023-02-16;23363;7670;085900
3;1;RG;AK;A;BK;A;UNVR;100;4550;2023-02-16;67385;7670;085900
4;1;RG;AK;A;BK;A;UNVR;200;4550;2023-02-16;67482;7670;085900
5;1;RG;AK;A;YP;I;UNVR;100;4550;2023-02-16;67482;41953;085900
6;1;RG;TP;A;XL;I;UNVR;100;4550;2023-02-16;74645;56592;085900
7;1;RG;TP;A;YP;I;UNVR;100;4550;2023-02-16;74645;42108;085900
8;1;RG;TP;A;PD;I;UNVR;100;4550;2023-02-16;74645;35228;085900
9;1;RG;TP;A;XL;I;UNVR;100;4550;2023-02-16;74645;63819;085900
10;1;RG;TP;A;XL;I;UNVR;100;4550;2023-02-16;74645;64139;085900
11;1;RG;TP;A;XL;I;UNVR;100;4550;2023-02-16;67214;64139;085900
12;1;RG;TP;A;XL;I;UNVR;400;4550;2023-02-16;74646;64139;085900
13;1;RG;YU;I;XL;I;UNVR;100;4550;2023-02-16;71310;64139;085900
14;1;RG;CC;I;XL;I;UNVR;200;4550;2023-02-16;44827;64274;085900
15;1;RG;CC;I;YP;I;UNVR;200;4550;2023-02-16;44827;56841;085900
16;1;RG;CC;I;YP;I;UNVR;300;4550;2023-02-16;49159;56841;085900
17;1;RG;CC;I;YP;I;UNVR;500;4550;2023-02-16;49159;56905;085900
18;1;RG;CC;I;NI;A;UNVR;200;4550;2023-02-16;49159;60966;085900
19;1;RG;YP;I;NI;A;UNVR;2800;4550;2023-02-16;47111;60966;085900
20;1;RG;XC;I;NI;A;UNVR;1400;4550;2023-02-16;18149;60966;085900
21;1;RG;AZ;I;NI;A;UNVR;600;4550;2023-02-16;33757;60966;085900
22;1;RG;AZ;I;YP;I;UNVR;1000;4550;2023-02-16;33757;75703;085900
23;1;RG;AZ;I;XC;I;UNVR;300;4550;2023-02-16;33757;1217;085900
24;1;RG;AZ;I;XC;I;UNVR;100;4550;2023-02-16;33757;2334;085900
25;1;RG;YP;I;KK;I;UNVR;200;4550;2023-02-16;56373;3948;085900
26;1;RG;YP;I;TP;I;UNVR;100;4550;2023-02-16;56373;6478;085900
27;1;RG;XL;I;TP;I;UNVR;1000;4550;2023-02-16;66616;6478;085900
28;1;RG;XC;I;TP;I;UNVR;100;4550;2023-02-16;1620;6478;085900
29;1;RG;XC;I;TP;I;UNVR;400;4550;2023-02-16;7949;6478;085900
30;1;RG;XC;I;TP;I;UNVR;300;4550;2023-02-16;9453;6478;085900
